region,Resource,technology,cluster,Zone,LDS,Min_Share,Max_Share,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,CO2_Capture_Rate,CO2_Capture_Cost_per_Metric_Ton,co2_pipeline_annuity_mw,co2_pipeline_capex_mw,storage_cost_tonne,tonne_co2_captured_mwh,co2_cost_mwh,Ramp_Up_Percentage,Ramp_Dn_Percentage,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,interconnect_capex_mw,regional_cost_multiplier,variable_CF,RETRO,Num_RETRO_Sources,Retro1_Source,Retro1_Efficiency,Retro1_Inv_Cost_per_MWyr,Retro2_Source,Retro2_Efficiency,Retro2_Inv_Cost_per_MWyr,Retro3_Source,gen_is_variable,Retro3_Efficiency,old_Inv_Cost_per_MWyr,old_Inv_Cost_per_MWhyr,Can_Retire
NYUP,NYUP_conventional_hydroelectric_1,Conventional Hydroelectric,1,12,0,0,0,3504.3,56.0,3504.312,0,62.58,0,0.0,0.0,0.0,0.0,0,47048,0.0,0.0,0.0,0.0,8.85,0.0,0.142,None,0.0,1.0,1.0,1.201833258229866,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.601313463406007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJMC,PJMC_conventional_hydroelectric_1,Conventional Hydroelectric,1,13,0,0,0,11.2,6.0,11.202,0,1.87,0,0.0,0.0,0.0,0.0,0,47048,0.0,0.0,0.0,0.0,9.21,0.0,0.0,None,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.3242162340619308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJMD,PJMD_conventional_hydroelectric_1,Conventional Hydroelectric,1,14,0,0,0,613.1,20.0,613.1,0,30.66,0,0.0,0.0,0.0,0.0,0,47048,0.0,0.0,0.0,0.0,8.85,0.367,0.17,None,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.1159680669398907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJME,PJME_conventional_hydroelectric_1,Conventional Hydroelectric,1,15,0,0,0,1133.1,34.0,1133.084,0,33.33,0,0.0,0.0,0.0,0.0,0,47048,0.0,0.0,0.0,0.0,8.84,0.0,0.103,None,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.3476340258451194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJMW,PJMW_conventional_hydroelectric_1,Conventional Hydroelectric,1,16,0,0,0,845.8,29.0,845.814,0,29.17,0,0.0,0.0,0.0,0.0,0,47048,0.0,0.0,0.0,0.0,8.85,0.0,0.154,None,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.3073955905848736,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMRG,RMRG_conventional_hydroelectric_1,Conventional Hydroelectric,1,17,0,0,0,708.1,25.0,708.1,0,28.32,0,0.0,0.0,0.0,0.0,0,47048,0.0,0.0,0.0,0.0,8.85,0.0,0.12,None,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.2880901204327111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPPC,SPPC_conventional_hydroelectric_1,Conventional Hydroelectric,1,18,0,0,0,52.0,1.0,52.0,0,52.0,0,0.0,0.0,0.0,0.0,0,47048,0.0,0.0,0.0,0.0,8.84,0.0,0.0,None,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.1436821493624772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPPN,SPPN_conventional_hydroelectric_1,Conventional Hydroelectric,1,19,0,0,0,2510.0,40.0,2510.0,0,62.75,0,0.0,0.0,0.0,0.0,0,47048,0.0,0.0,0.0,0.0,8.85,0.0,0.058,None,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.4515061100081689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPPS,SPPS_conventional_hydroelectric_1,Conventional Hydroelectric,1,20,0,0,0,2008.4,60.0,2008.38,0,33.47,0,0.0,0.0,0.0,0.0,0,47048,0.0,0.0,0.0,0.0,8.87,0.0,0.111,None,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.168859414845173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRCA,SRCA_conventional_hydroelectric_1,Conventional Hydroelectric,1,21,0,0,0,1566.5,49.0,1566.481,0,31.97,0,0.0,0.0,0.0,0.0,0,47048,0.0,0.0,0.0,0.0,8.85,0.0,0.117,None,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.1610658242258652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRCE,SRCE_conventional_hydroelectric_1,Conventional Hydroelectric,1,22,0,0,0,4684.2,147.0,4684.155,0,31.86,0,0.0,0.0,0.0,0.0,0,47048,0.0,0.0,0.0,0.0,8.84,0.0,0.097,None,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.361773415160069,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRSE,SRSE_conventional_hydroelectric_1,Conventional Hydroelectric,1,23,0,0,0,3621.8,89.0,3621.766,0,40.69,0,0.0,0.0,0.0,0.0,0,47048,0.0,0.0,0.0,0.0,8.85,0.0,0.036,None,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.1627950364298725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRSG,SRSG_conventional_hydroelectric_1,Conventional Hydroelectric,1,24,0,0,0,2765.5,29.0,2765.498,0,95.36,0,0.0,0.0,0.0,0.0,0,47048,0.0,0.0,0.0,0.0,8.84,0.0,0.068,None,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.2915814155785187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE,TRE_conventional_hydroelectric_1,Conventional Hydroelectric,1,25,0,0,0,479.4,20.0,479.4,0,23.97,0,0.0,0.0,0.0,0.0,0,47048,0.0,0.0,0.0,0.0,8.85,0.0,0.129,None,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0942978369763205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
