region,Resource,technology,cluster,Zone,LDS,Min_Share,Max_Share,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,CO2_Capture_Rate,CO2_Capture_Cost_per_Metric_Ton,co2_pipeline_annuity_mw,co2_pipeline_capex_mw,storage_cost_tonne,tonne_co2_captured_mwh,co2_cost_mwh,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,interconnect_capex_mw,regional_cost_multiplier,variable_CF,RETRO,Num_RETRO_Sources,Retro1_Source,Retro1_Efficiency,Retro1_Inv_Cost_per_MWyr,Retro2_Source,Retro2_Efficiency,Retro2_Inv_Cost_per_MWyr,Retro3_Source,gen_is_variable,Retro3_Efficiency,old_Inv_Cost_per_MWyr,old_Inv_Cost_per_MWhyr,Can_Retire
MISC,MISC_biomass_1,Biomass,1,6,0,0,0,41.7,70,72.1,0,0.6,0,0,0,0,0,0,157220,0,4.5,172,0,12.05,0.768,0.828,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISC,MISC_biomass_2,Biomass,2,6,0,0,0,41.5,10,71.7,0,4.15,0,0,0,0,0,0,157220,0,3.45,172,0,9.24,0.859,1.15,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISC,MISC_small_hydroelectric_1,Small Hydroelectric,1,6,0,0,0,15.5,3,30,0,5.18,0,0,0,0,0,0,47048,0,0,0,0,8.88,0,0.011,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376556494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISE,MISE_biomass_1,Biomass,1,7,0,0,0,70.9,93,170.562,0,0.76,0,0,0,0,0,0,157220,0,4.07,172,0,10.9,2.695,1.662,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISE,MISE_biomass_2,Biomass,2,7,0,0,0,58.1,12,139.896,0,4.84,0,0,0,0,0,0,157220,0,6.95,172,0,18.63,2.817,2.357,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISE,MISE_small_hydroelectric_1,Small Hydroelectric,1,7,0,0,0,12.1,20,16.2,0,0.6,0,0,0,0,0,0,47048,0,0,0,0,8.84,0,0.001,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342210679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISS,MISS_biomass_1,Biomass,1,8,0,0,0,5.8,10,20.6,0,0.58,0,0,0,0,0,0,157220,0,5.44,172,0,14.57,0.824,1.227,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISS,MISS_biomass_2,Biomass,2,8,0,0,0,85,11,303.6,0,7.73,0,0,0,0,0,0,157220,0,3.44,172,0,9.21,0,0,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISS,MISS_small_hydroelectric_1,Small Hydroelectric,1,8,0,0,0,2.6,14,62.706,0,0.19,0,0,0,0,0,0,47048,0,0,0,0,8.84,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265506819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISW,MISW_biomass_1,Biomass,1,9,0,0,0,78.9,98,358.876,0,0.8,0,0,0,0,0,0,157220,0,3.56,172,0,9.55,2.999,1.534,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISW,MISW_biomass_2,Biomass,2,9,0,0,0,21.1,9,96.102,0,2.35,0,0,0,0,0,0,157220,0,6.66,172,0,17.83,2.547,1.458,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MISW,MISW_small_hydroelectric_1,Small Hydroelectric,1,9,0,0,0,461.3,231,410.718,0,2,0,0,0,0,0,0,47048,0,0,0,0,8.84,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340375527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NWPP,NWPP_biomass_1,Biomass,1,10,0,0,0,47.3,7,175.903,0,6.76,0,0,0,0,0,0,157220,0,9.3,172,0,24.91,4.1,5.614,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NWPP,NWPP_biomass_2,Biomass,2,10,0,0,0,72.9,78,271.128,0,0.94,0,0,0,0,0,0,157220,0,4.38,172,0,11.75,2.782,2.048,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NWPP,NWPP_small_hydroelectric_1,Small Hydroelectric,1,10,0,0,0,435.8,129,723.69,0,3.38,0,0,0,0,0,0,47048,0,0,0,0,8.84,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503363519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYCW,NYCW_biomass_1,Biomass,1,11,0,0,0,10.6,2,25.4,0,5.3,0,0,0,0,0,0,157220,0,8.8,172,0,23.58,3.155,4.462,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYCW,NYCW_biomass_2,Biomass,2,11,0,0,0,41.5,3,99.3,0,13.82,0,0,0,0,0,0,157220,0,6.32,172,0,16.93,4.179,4.678,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYUP,NYUP_biomass_1,Biomass,1,12,0,0,0,76.3,91,155.61,0,0.84,0,0,0,0,0,0,157220,0,4.1,172,0,10.97,1.374,1.082,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYUP,NYUP_biomass_2,Biomass,2,12,0,0,0,47.9,3,97.5,0,15.95,0,0,0,0,0,0,157220,0,7.25,172,0,19.43,1.918,2.835,waste_biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NYUP,NYUP_small_hydroelectric_1,Small Hydroelectric,1,12,0,0,0,424.9,196,599.368,0,2.17,0,0,0,0,0,0,47048,0,0,0,0,8.84,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601313463,0,0,0,0,0,0,0,0,0,0,0,0,0,0
