Resource,Derating_factor_1,Derating_factor_2,Derating_factor_4,Derating_factor_5,Derating_factor_10,Derating_factor_3,Derating_factor_8,Derating_factor_7,Derating_factor_9,Derating_factor_6
CANO_biomass_2,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_conventional_hydroelectric_1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_geothermal_1,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_hydroelectric_pumped_storage_1,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_natural_gas_fired_combined_cycle_1,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_natural_gas_fired_combined_cycle_2,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_natural_gas_fired_combustion_turbine_1,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_natural_gas_fired_combustion_turbine_2,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_natural_gas_internal_combustion_engine_1,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_natural_gas_steam_turbine_1,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_nuclear_1,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_onshore_wind_turbine_1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_petroleum_liquids_1,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_small_hydroelectric_1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANO_solar_photovoltaic_1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_batteries_1,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_biomass_1,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_biomass_2,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_conventional_hydroelectric_1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_conventional_steam_coal_1,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_geothermal_1,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_hydroelectric_pumped_storage_1,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_natural_gas_fired_combined_cycle_1,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_natural_gas_fired_combined_cycle_2,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_natural_gas_fired_combustion_turbine_1,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_natural_gas_fired_combustion_turbine_2,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_natural_gas_internal_combustion_engine_1,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_natural_gas_steam_turbine_1,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_onshore_wind_turbine_1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_petroleum_liquids_1,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_small_hydroelectric_1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASO_solar_photovoltaic_1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRCC_batteries_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0
FRCC_biomass_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0
FRCC_biomass_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0
FRCC_conventional_hydroelectric_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
FRCC_conventional_steam_coal_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0
FRCC_conventional_steam_coal_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0
FRCC_natural_gas_fired_combined_cycle_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0
FRCC_natural_gas_fired_combined_cycle_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0
FRCC_natural_gas_fired_combustion_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0
FRCC_natural_gas_fired_combustion_turbine_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0
FRCC_natural_gas_internal_combustion_engine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0
FRCC_natural_gas_steam_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0
FRCC_nuclear_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0
FRCC_petroleum_liquids_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0
FRCC_solar_photovoltaic_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
ISNE_batteries_1,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0
ISNE_biomass_1,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0
ISNE_biomass_2,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0
ISNE_conventional_hydroelectric_1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
ISNE_conventional_steam_coal_1,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0
ISNE_conventional_steam_coal_2,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0
ISNE_hydroelectric_pumped_storage_1,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0
ISNE_natural_gas_fired_combined_cycle_1,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0
ISNE_natural_gas_fired_combined_cycle_2,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0
ISNE_natural_gas_fired_combustion_turbine_1,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0
ISNE_natural_gas_fired_combustion_turbine_2,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0
ISNE_natural_gas_internal_combustion_engine_1,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0
ISNE_natural_gas_steam_turbine_1,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0
ISNE_nuclear_1,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0
ISNE_offshore_wind_turbine_1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
ISNE_onshore_wind_turbine_1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
ISNE_petroleum_liquids_1,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0
ISNE_small_hydroelectric_1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
ISNE_solar_photovoltaic_1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
MISC_batteries_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95
MISC_biomass_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISC_biomass_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISC_conventional_hydroelectric_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
MISC_conventional_steam_coal_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISC_conventional_steam_coal_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISC_hydroelectric_pumped_storage_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95
MISC_natural_gas_fired_combined_cycle_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISC_natural_gas_fired_combined_cycle_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISC_natural_gas_fired_combustion_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISC_natural_gas_fired_combustion_turbine_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISC_natural_gas_internal_combustion_engine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISC_natural_gas_steam_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISC_nuclear_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISC_onshore_wind_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
MISC_petroleum_liquids_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISC_small_hydroelectric_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
MISC_solar_photovoltaic_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
MISE_batteries_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95
MISE_biomass_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISE_biomass_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISE_conventional_hydroelectric_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
MISE_conventional_steam_coal_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISE_conventional_steam_coal_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISE_hydroelectric_pumped_storage_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95
MISE_natural_gas_fired_combined_cycle_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISE_natural_gas_fired_combined_cycle_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISE_natural_gas_fired_combustion_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISE_natural_gas_fired_combustion_turbine_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISE_natural_gas_internal_combustion_engine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISE_natural_gas_steam_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISE_nuclear_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISE_onshore_wind_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
MISE_petroleum_liquids_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISE_small_hydroelectric_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
MISE_solar_photovoltaic_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
MISS_batteries_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95
MISS_biomass_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISS_biomass_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISS_conventional_hydroelectric_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
MISS_conventional_steam_coal_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISS_conventional_steam_coal_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISS_natural_gas_fired_combined_cycle_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISS_natural_gas_fired_combined_cycle_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISS_natural_gas_fired_combustion_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISS_natural_gas_fired_combustion_turbine_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISS_natural_gas_internal_combustion_engine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISS_natural_gas_steam_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISS_natural_gas_steam_turbine_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISS_nuclear_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISS_onshore_wind_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
MISS_petroleum_liquids_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISS_small_hydroelectric_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
MISS_solar_photovoltaic_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
MISW_batteries_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95
MISW_biomass_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISW_biomass_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISW_conventional_hydroelectric_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
MISW_conventional_steam_coal_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISW_conventional_steam_coal_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISW_natural_gas_fired_combined_cycle_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISW_natural_gas_fired_combined_cycle_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISW_natural_gas_fired_combustion_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISW_natural_gas_fired_combustion_turbine_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISW_natural_gas_fired_combustion_turbine_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISW_natural_gas_internal_combustion_engine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISW_natural_gas_steam_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISW_nuclear_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISW_onshore_wind_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
MISW_petroleum_liquids_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
MISW_small_hydroelectric_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
MISW_solar_photovoltaic_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
NWPP_batteries_1,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
NWPP_biomass_1,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
NWPP_biomass_2,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
NWPP_conventional_hydroelectric_1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
NWPP_conventional_steam_coal_1,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
NWPP_conventional_steam_coal_2,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
NWPP_geothermal_1,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
NWPP_hydroelectric_pumped_storage_1,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
NWPP_natural_gas_fired_combined_cycle_1,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
NWPP_natural_gas_fired_combined_cycle_2,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
NWPP_natural_gas_fired_combustion_turbine_1,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
NWPP_natural_gas_fired_combustion_turbine_2,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
NWPP_natural_gas_internal_combustion_engine_1,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
NWPP_natural_gas_steam_turbine_1,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
NWPP_nuclear_1,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
NWPP_onshore_wind_turbine_1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
NWPP_petroleum_liquids_1,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0
NWPP_small_hydroelectric_1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
NWPP_solar_photovoltaic_1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
NYCW_batteries_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
NYCW_biomass_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
NYCW_biomass_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
NYCW_natural_gas_fired_combined_cycle_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
NYCW_natural_gas_fired_combined_cycle_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
NYCW_natural_gas_fired_combustion_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
NYCW_natural_gas_fired_combustion_turbine_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
NYCW_natural_gas_fired_combustion_turbine_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
NYCW_natural_gas_internal_combustion_engine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
NYCW_natural_gas_steam_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
NYCW_petroleum_liquids_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
NYCW_solar_photovoltaic_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
NYUP_batteries_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
NYUP_biomass_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
NYUP_biomass_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
NYUP_conventional_hydroelectric_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
NYUP_hydroelectric_pumped_storage_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0
NYUP_natural_gas_fired_combined_cycle_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
NYUP_natural_gas_fired_combined_cycle_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
NYUP_natural_gas_fired_combustion_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
NYUP_natural_gas_fired_combustion_turbine_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
NYUP_natural_gas_internal_combustion_engine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
NYUP_natural_gas_steam_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
NYUP_nuclear_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
NYUP_onshore_wind_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
NYUP_petroleum_liquids_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0
NYUP_small_hydroelectric_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
NYUP_solar_photovoltaic_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
PJMC_batteries_1,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0
PJMC_biomass_1,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMC_biomass_2,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMC_conventional_hydroelectric_1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
PJMC_conventional_steam_coal_1,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMC_conventional_steam_coal_2,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMC_natural_gas_fired_combined_cycle_1,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMC_natural_gas_fired_combined_cycle_2,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMC_natural_gas_fired_combustion_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMC_natural_gas_fired_combustion_turbine_2,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMC_natural_gas_internal_combustion_engine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMC_natural_gas_steam_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMC_nuclear_1,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMC_onshore_wind_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
PJMC_petroleum_liquids_1,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMC_small_hydroelectric_1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
PJMC_solar_photovoltaic_1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
PJMD_batteries_1,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0
PJMD_biomass_1,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMD_biomass_2,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMD_conventional_hydroelectric_1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
PJMD_conventional_steam_coal_1,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMD_conventional_steam_coal_2,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMD_hydroelectric_pumped_storage_1,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0
PJMD_natural_gas_fired_combined_cycle_1,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMD_natural_gas_fired_combined_cycle_2,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMD_natural_gas_fired_combustion_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMD_natural_gas_fired_combustion_turbine_2,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMD_natural_gas_fired_combustion_turbine_3,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMD_natural_gas_internal_combustion_engine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMD_natural_gas_steam_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMD_nuclear_1,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMD_onshore_wind_turbine_1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
PJMD_petroleum_liquids_1,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0
PJMD_small_hydroelectric_1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
PJMD_solar_photovoltaic_1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
