Time_Index,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
46,1.0,1.0,1.0,0.0,0.881124794,0.0,0.971499681,1.0,1.0,1.0
47,1.0,1.0,1.0,0.0,0.837216139,0.0,0.997881591,1.0,1.0,1.0
48,1.0,1.0,1.0,0.0,0.935307026,0.0,0.981252551,1.0,1.0,1.0
49,1.0,1.0,1.0,0.0,0.95678848,0.0,0.874063134,1.0,1.0,1.0
50,1.0,1.0,1.0,0.0,0.960784912,0.0,0.785421908,1.0,1.0,1.0
51,1.0,1.0,1.0,0.0,0.964077592,0.0,0.838933825,1.0,1.0,1.0
52,1.0,1.0,1.0,0.0,0.821918488,0.0,0.836373806,1.0,1.0,1.0
53,1.0,1.0,1.0,0.0,0.535242558,0.0,0.798461854,1.0,1.0,1.0
54,1.0,1.0,1.0,0.0,0.421804518,0.0,0.835002184,1.0,1.0,1.0
55,1.0,1.0,1.0,0.0,0.44402492,0.0,0.936725378,1.0,1.0,1.0
56,1.0,1.0,1.0,0.0,0.506769657,0.0,0.92959249,1.0,1.0,1.0
57,1.0,1.0,1.0,0.1008,0.716469467,0.1563,0.786107421,1.0,1.0,1.0
58,1.0,1.0,1.0,0.3571,0.479748398,0.4284,0.73866868,1.0,1.0,1.0
59,1.0,1.0,1.0,0.5425,0.77202934,0.5777,0.717252851,1.0,1.0,1.0
60,1.0,1.0,1.0,0.6327,0.629349351,0.6501,0.634071887,1.0,1.0,1.0
61,1.0,1.0,1.0,0.6563,0.735723257,0.6632,0.717576087,1.0,1.0,1.0
62,1.0,1.0,1.0,0.6462,0.502739787,0.6461,0.680005491,1.0,1.0,1.0
63,1.0,1.0,1.0,0.5642,0.707346141,0.5617,0.761096835,1.0,1.0,1.0
64,1.0,1.0,1.0,0.3954,0.32747677,0.3732,0.737764895,1.0,1.0,1.0
65,1.0,1.0,1.0,0.1551,0.927522063,0.1768,0.7636289,1.0,1.0,1.0
66,1.0,1.0,1.0,0.0,0.636502683,0.0,0.771935344,1.0,1.0,1.0
67,1.0,1.0,1.0,0.0,0.664787829,0.0,0.867450655,1.0,1.0,1.0
68,1.0,1.0,1.0,0.0,0.515376031,0.0,0.923220873,1.0,1.0,1.0
69,1.0,1.0,1.0,0.0,0.439054638,0.0,0.93512392,1.0,1.0,1.0
70,1.0,1.0,1.0,0.0,0.750679374,0.0,0.801682234,1.0,1.0,1.0
71,1.0,1.0,1.0,0.0,0.814183295,0.0,0.73993969,1.0,1.0,1.0
72,1.0,1.0,1.0,0.0,0.872650862,0.0,0.863863051,1.0,1.0,1.0
73,1.0,1.0,1.0,0.0,0.888046741,0.0,0.794329345,1.0,1.0,1.0
74,1.0,1.0,1.0,0.0,0.731665611,0.0,0.7056126,1.0,1.0,1.0
75,1.0,1.0,1.0,0.0,0.777789474,0.0,0.764104486,1.0,1.0,1.0
76,1.0,1.0,1.0,0.0,0.943983614,0.0,0.786875129,1.0,1.0,1.0
77,1.0,1.0,1.0,0.0,0.947459102,0.0,0.886458337,1.0,1.0,1.0
78,1.0,1.0,1.0,0.0,0.747204661,0.0,0.976139545,1.0,1.0,1.0
79,1.0,1.0,1.0,0.0,0.933167934,0.0,0.972755671,1.0,1.0,1.0
80,1.0,1.0,1.0,0.0,0.757942557,0.0,0.896742344,1.0,1.0,1.0
81,1.0,1.0,1.0,0.2189,0.785400927,0.1756,0.984853625,1.0,1.0,1.0
82,1.0,1.0,1.0,0.4091,0.641020477,0.359,0.902690589,1.0,1.0,1.0
83,1.0,1.0,1.0,0.5094,0.963223636,0.4301,0.9146806,1.0,1.0,1.0
84,1.0,1.0,1.0,0.5486,0.768399656,0.4563,0.959157526,1.0,1.0,1.0
85,1.0,1.0,1.0,0.5372,0.880754352,0.3894,0.980083108,1.0,1.0,1.0
86,1.0,1.0,1.0,0.4018,0.927021861,0.4534,0.962692797,1.0,1.0,1.0
87,1.0,1.0,1.0,0.4305,0.91498971,0.5024,0.874517322,1.0,1.0,1.0
88,1.0,1.0,1.0,0.3475,0.568014443,0.3741,0.909573317,1.0,1.0,1.0
89,1.0,1.0,1.0,0.1858,0.400734007,0.207,0.887189507,1.0,1.0,1.0
90,1.0,1.0,1.0,0.0,0.370842636,0.0,0.914014876,1.0,1.0,1.0
91,1.0,1.0,1.0,0.0,0.345947564,0.0,0.881599724,1.0,1.0,1.0
92,1.0,1.0,1.0,0.0,0.52340579,0.0,0.903847158,1.0,1.0,1.0
93,1.0,1.0,1.0,0.0,0.235718831,0.0,0.908420205,1.0,1.0,1.0
94,1.0,1.0,1.0,0.0,0.353133857,0.0,0.877573609,1.0,1.0,1.0
95,1.0,1.0,1.0,0.0,0.123410217,0.0,0.374645948,1.0,1.0,1.0
96,1.0,1.0,1.0,0.0,0.159678772,0.0,0.802588284,1.0,1.0,1.0
97,1.0,1.0,1.0,0.0,0.174881235,0.0,0.690074623,1.0,1.0,1.0
98,1.0,1.0,1.0,0.0,0.268058985,0.0,0.677912593,1.0,1.0,1.0
99,1.0,1.0,1.0,0.0,0.07365521,0.0,0.683205128,1.0,1.0,1.0
100,1.0,1.0,1.0,0.0,0.09225262,0.0,0.589605987,1.0,1.0,1.0
101,1.0,1.0,1.0,0.0,0.1769187,0.0,0.580307305,1.0,1.0,1.0
102,1.0,1.0,1.0,0.0,0.047160737,0.0,0.634193897,1.0,1.0,1.0
103,1.0,1.0,1.0,0.0,0.018978704,0.0,0.679633021,1.0,1.0,1.0
104,1.0,1.0,1.0,0.0,0.007698048,0.0,0.686066628,1.0,1.0,1.0
105,1.0,1.0,1.0,0.1243,0.0,0.1448,0.628320456,1.0,1.0,1.0
106,1.0,1.0,1.0,0.3369,3.21e-6,0.381,0.540198147,1.0,1.0,1.0
107,1.0,1.0,1.0,0.5427,0.0,0.4255,0.395114601,1.0,1.0,1.0
108,1.0,1.0,1.0,0.5165,0.0,0.4001,0.167897642,1.0,1.0,1.0
109,1.0,1.0,1.0,0.4801,0.0,0.3675,0.094961971,1.0,1.0,1.0
110,1.0,1.0,1.0,0.4327,0.0,0.3052,0.083402254,1.0,1.0,1.0
111,1.0,1.0,1.0,0.3182,0.016408831,0.2707,0.081223026,1.0,1.0,1.0
112,1.0,1.0,1.0,0.1995,0.121261552,0.1831,0.027838761,1.0,1.0,1.0
113,1.0,1.0,1.0,0.0683,0.194417536,0.078,0.033720993,1.0,1.0,1.0
114,1.0,1.0,1.0,0.0,0.331171334,0.0,0.124309257,1.0,1.0,1.0
115,1.0,1.0,1.0,0.0,0.57641989,0.0,0.199696913,1.0,1.0,1.0
116,1.0,1.0,1.0,0.0,0.249798104,0.0,0.368104279,1.0,1.0,1.0
117,1.0,1.0,1.0,0.0,0.31388849,0.0,0.412119091,1.0,1.0,1.0
118,1.0,1.0,1.0,0.0,0.263796777,0.0,0.432690829,1.0,1.0,1.0
119,1.0,1.0,1.0,0.0,0.322466075,0.0,0.638492703,1.0,1.0,1.0
120,1.0,1.0,1.0,0.0,0.329577833,0.0,0.733269811,1.0,1.0,1.0
121,1.0,1.0,1.0,0.0,0.705949306,0.0,0.780201435,1.0,1.0,1.0
122,1.0,1.0,1.0,0.0,0.834924579,0.0,0.786337197,1.0,1.0,1.0
123,1.0,1.0,1.0,0.0,0.832703173,0.0,0.797727823,1.0,1.0,1.0
124,1.0,1.0,1.0,0.0,0.727586865,0.0,0.823553085,1.0,1.0,1.0
125,1.0,1.0,1.0,0.0,0.626110256,0.0,0.758514643,1.0,1.0,1.0
126,1.0,1.0,1.0,0.0,0.721315265,0.0,0.721159458,1.0,1.0,1.0
127,1.0,1.0,1.0,0.0,0.785158873,0.0,0.718788862,1.0,1.0,1.0
128,1.0,1.0,1.0,0.0,0.59819752,0.0,0.807962596,1.0,1.0,1.0
129,1.0,1.0,1.0,0.0,0.567111433,0.0,0.934006155,1.0,1.0,1.0
130,1.0,1.0,1.0,0.003,0.326491237,0.0064,0.948075294,1.0,1.0,1.0
131,1.0,1.0,1.0,0.0852,0.390583217,0.116,0.981830955,1.0,1.0,1.0
132,1.0,1.0,1.0,0.1324,0.287067473,0.0999,0.98286736,1.0,1.0,1.0
133,1.0,1.0,1.0,0.1041,0.229321212,0.1202,0.940139234,1.0,1.0,1.0
134,1.0,1.0,1.0,0.1276,0.154025629,0.192,0.877916396,1.0,1.0,1.0
135,1.0,1.0,1.0,0.1108,0.115687042,0.1404,0.879350662,1.0,1.0,1.0
136,1.0,1.0,1.0,0.0825,0.054644316,0.0697,0.896614492,1.0,1.0,1.0
137,1.0,1.0,1.0,0.0043,0.088804618,0.0,0.837487161,1.0,1.0,1.0
138,1.0,1.0,1.0,0.0,0.72049433,0.0,0.721934199,1.0,1.0,1.0
139,1.0,1.0,1.0,0.0,0.834395289,0.0,0.659873962,1.0,1.0,1.0
140,1.0,1.0,1.0,0.0,0.950648248,0.0,0.497243434,1.0,1.0,1.0
141,1.0,1.0,1.0,0.0,0.999782085,0.0,0.501666129,1.0,1.0,1.0
142,1.0,1.0,1.0,0.0,1.0,0.0,0.587158203,1.0,1.0,1.0
143,1.0,1.0,1.0,0.0,1.0,0.0,0.723627448,1.0,1.0,1.0
144,1.0,1.0,1.0,0.0,1.0,0.0,0.83999908,1.0,1.0,1.0
145,1.0,1.0,1.0,0.0,1.0,0.0,0.961806953,1.0,1.0,1.0
146,1.0,1.0,1.0,0.0,1.0,0.0,0.997699499,1.0,1.0,1.0
147,1.0,1.0,1.0,0.0,1.0,0.0,0.99966979,1.0,1.0,1.0
148,1.0,1.0,1.0,0.0,0.999383628,0.0,0.996178329,1.0,1.0,1.0
149,1.0,1.0,1.0,0.0,0.965365767,0.0,0.992918313,1.0,1.0,1.0
150,1.0,1.0,1.0,0.0,0.79326117,0.0,0.974965513,1.0,1.0,1.0
151,1.0,1.0,1.0,0.0,0.284757346,0.0,0.955787182,1.0,1.0,1.0
152,1.0,1.0,1.0,0.0,0.51474309,0.0,0.939044178,1.0,1.0,1.0
153,1.0,1.0,1.0,0.2499,0.541716576,0.2267,0.878550053,1.0,1.0,1.0
154,1.0,1.0,1.0,0.4155,0.119267933,0.3616,0.718334675,1.0,1.0,1.0
155,1.0,1.0,1.0,0.5324,7.85e-5,0.4427,0.461677551,1.0,1.0,1.0
156,1.0,1.0,1.0,0.4953,0.0,0.4972,0.560474813,1.0,1.0,1.0
157,1.0,1.0,1.0,0.5597,0.021236544,0.6758,0.422075212,1.0,1.0,1.0
158,1.0,1.0,1.0,0.6671,0.279601127,0.7002,0.194490075,1.0,1.0,1.0
159,1.0,1.0,1.0,0.6148,0.46427834,0.6275,0.148848206,1.0,1.0,1.0
160,1.0,1.0,1.0,0.4365,0.974582016,0.3833,0.189681008,1.0,1.0,1.0
161,1.0,1.0,1.0,0.195,0.989060044,0.1751,0.334965825,1.0,1.0,1.0
162,1.0,1.0,1.0,0.0,0.871624708,0.0,0.558297515,1.0,1.0,1.0
163,1.0,1.0,1.0,0.0,0.820555329,0.0,0.723501265,1.0,1.0,1.0
164,1.0,1.0,1.0,0.0,0.579907179,0.0,0.886326075,1.0,1.0,1.0
165,1.0,1.0,1.0,0.0,0.888320148,0.0,0.97592932,1.0,1.0,1.0
166,1.0,1.0,1.0,0.0,0.996523142,0.0,0.986805677,1.0,1.0,1.0
167,1.0,1.0,1.0,0.0,0.996782899,0.0,0.991398931,1.0,1.0,1.0
168,1.0,1.0,1.0,0.0,0.991666675,0.0,0.989534974,1.0,1.0,1.0
169,1.0,1.0,1.0,0.0,0.024355069,0.0,0.748682261,1.0,1.0,1.0
170,1.0,1.0,1.0,0.0,0.087464668,0.0,0.722473741,1.0,1.0,1.0
171,1.0,1.0,1.0,0.0,0.129747748,0.0,0.784560621,1.0,1.0,1.0
172,1.0,1.0,1.0,0.0,0.054570939,0.0,0.793878376,1.0,1.0,1.0
173,1.0,1.0,1.0,0.0,0.09787365,0.0,0.748106122,1.0,1.0,1.0
174,1.0,1.0,1.0,0.0,0.071352124,0.0,0.791063488,1.0,1.0,1.0
175,1.0,1.0,1.0,0.0,0.007259607,0.0,0.71205759,1.0,1.0,1.0
176,1.0,1.0,1.0,0.0,0.012448314,0.0,0.601690769,1.0,1.0,1.0
177,1.0,1.0,1.0,0.2891,0.014655897,0.268,0.663625062,1.0,1.0,1.0
178,1.0,1.0,1.0,0.5073,0.005770348,0.5038,0.511986375,1.0,1.0,1.0
179,1.0,1.0,1.0,0.6627,0.01502922,0.6629,0.386501193,1.0,1.0,1.0
180,1.0,1.0,1.0,0.7274,0.000105199,0.7289,0.195842817,1.0,1.0,1.0
181,1.0,1.0,1.0,0.7364,0.009040426,0.7458,0.31197384,1.0,1.0,1.0
182,1.0,1.0,1.0,0.7298,0.076620802,0.7384,0.579322457,1.0,1.0,1.0
183,1.0,1.0,1.0,0.6666,0.114635564,0.6868,0.515212178,1.0,1.0,1.0
184,1.0,1.0,1.0,0.508,0.259471357,0.5375,0.520608842,1.0,1.0,1.0
185,1.0,1.0,1.0,0.2905,0.266631514,0.3275,0.500415802,1.0,1.0,1.0
186,1.0,1.0,1.0,0.0,0.553913593,0.0084,0.579055548,1.0,1.0,1.0
187,1.0,1.0,1.0,0.0,0.456685781,0.0,0.742592216,1.0,1.0,1.0
188,1.0,1.0,1.0,0.0,0.455366284,0.0,0.782880664,1.0,1.0,1.0
189,1.0,1.0,1.0,0.0,0.599906921,0.0,0.738973796,1.0,1.0,1.0
190,1.0,1.0,1.0,0.0,0.550957739,0.0,0.841824532,1.0,1.0,1.0
191,1.0,1.0,1.0,0.0,0.597440004,0.0,0.928091645,1.0,1.0,1.0
192,1.0,1.0,1.0,0.0,0.576802969,0.0,0.936562538,1.0,1.0,1.0
193,1.0,1.0,1.0,0.0,0.259640664,0.0,0.899250269,1.0,1.0,1.0
194,1.0,1.0,1.0,0.0,0.303480119,0.0,0.952035069,1.0,1.0,1.0
195,1.0,1.0,1.0,0.0,0.542770267,0.0,0.976794481,1.0,1.0,1.0
196,1.0,1.0,1.0,0.0,0.784003615,0.0,0.961499333,1.0,1.0,1.0
197,1.0,1.0,1.0,0.0,0.794739664,0.0,0.937165022,1.0,1.0,1.0
198,1.0,1.0,1.0,0.0,0.943588614,0.0,0.89061451,1.0,1.0,1.0
199,1.0,1.0,1.0,0.0,0.924604237,0.0,0.929476738,1.0,1.0,1.0
200,1.0,1.0,1.0,0.0007,0.626917481,0.0,0.966693282,1.0,1.0,1.0
201,1.0,1.0,1.0,0.2746,0.635662079,0.2778,0.936077178,1.0,1.0,1.0
202,1.0,1.0,1.0,0.492,0.840934098,0.4936,0.867835283,1.0,1.0,1.0
203,1.0,1.0,1.0,0.6453,0.776441932,0.6446,0.841068745,1.0,1.0,1.0
204,1.0,1.0,1.0,0.7063,0.555783987,0.7134,0.820606768,1.0,1.0,1.0
205,1.0,1.0,1.0,0.7157,0.504585147,0.7244,0.820878625,1.0,1.0,1.0
206,1.0,1.0,1.0,0.7094,0.394863248,0.7198,0.719276369,1.0,1.0,1.0
207,1.0,1.0,1.0,0.6458,0.751514912,0.6669,0.831145108,1.0,1.0,1.0
208,1.0,1.0,1.0,0.4907,0.765338778,0.5206,0.894025207,1.0,1.0,1.0
209,1.0,1.0,1.0,0.2821,0.874969602,0.3184,0.957038641,1.0,1.0,1.0
210,1.0,1.0,1.0,0.0,0.960982263,0.0115,0.991364241,1.0,1.0,1.0
211,1.0,1.0,1.0,0.0,1.0,0.0,0.978024304,1.0,1.0,1.0
212,1.0,1.0,1.0,0.0,0.892184198,0.0,0.935228109,1.0,1.0,1.0
213,1.0,1.0,1.0,0.0,0.997496009,0.0,0.897325397,1.0,1.0,1.0
214,1.0,1.0,1.0,0.0,0.93209362,0.0,0.858655691,1.0,1.0,1.0
215,1.0,1.0,1.0,0.0,0.995199144,0.0,0.752758503,1.0,1.0,1.0
216,1.0,1.0,1.0,0.0,0.521404147,0.0,0.776003718,1.0,1.0,1.0
217,1.0,1.0,1.0,0.0,0.870074809,0.0,0.775892258,1.0,1.0,1.0
218,1.0,1.0,1.0,0.0,0.993131042,0.0,0.751547635,1.0,1.0,1.0
219,1.0,1.0,1.0,0.0,0.966885746,0.0,0.772873163,1.0,1.0,1.0
220,1.0,1.0,1.0,0.0,0.952266693,0.0,0.812200904,1.0,1.0,1.0
221,1.0,1.0,1.0,0.0,0.785362065,0.0,0.781038046,1.0,1.0,1.0
222,1.0,1.0,1.0,0.0,0.542045534,0.0,0.952202082,1.0,1.0,1.0
223,1.0,1.0,1.0,0.0,0.649721563,0.0,0.860494018,1.0,1.0,1.0
224,1.0,1.0,1.0,0.0032,0.757848263,0.0,0.786825061,1.0,1.0,1.0
225,1.0,1.0,1.0,0.2384,0.52270031,0.2432,0.747753084,1.0,1.0,1.0
226,1.0,1.0,1.0,0.4037,0.278034478,0.4211,0.891163349,1.0,1.0,1.0
227,1.0,1.0,1.0,0.4987,0.550669134,0.5184,0.697574377,1.0,1.0,1.0
228,1.0,1.0,1.0,0.5164,0.887624919,0.507,0.704690576,1.0,1.0,1.0
229,1.0,1.0,1.0,0.5155,0.900511742,0.5207,0.78763783,1.0,1.0,1.0
230,1.0,1.0,1.0,0.5077,0.872739136,0.5885,0.657645702,1.0,1.0,1.0
231,1.0,1.0,1.0,0.4962,0.961140275,0.5703,0.865047574,1.0,1.0,1.0
232,1.0,1.0,1.0,0.3746,0.931884527,0.4369,0.959613502,1.0,1.0,1.0
233,1.0,1.0,1.0,0.2158,0.907707751,0.255,0.982016504,1.0,1.0,1.0
234,1.0,1.0,1.0,0.0,0.949206114,0.0015,0.993035913,1.0,1.0,1.0
235,1.0,1.0,1.0,0.0,0.83072561,0.0,0.942026377,1.0,1.0,1.0
236,1.0,1.0,1.0,0.0,0.611792326,0.0,0.94190979,1.0,1.0,1.0
237,1.0,1.0,1.0,0.0,0.597410083,0.0,0.971319258,1.0,1.0,1.0
238,1.0,1.0,1.0,0.0,0.835335076,0.0,0.971747637,1.0,1.0,1.0
239,1.0,1.0,1.0,0.0,0.6421296,0.0,0.852192342,1.0,1.0,1.0
240,1.0,1.0,1.0,0.0,0.503539562,0.0,0.847717762,1.0,1.0,1.0
241,1.0,1.0,1.0,0.0,0.521246254,0.0,0.77478838,1.0,1.0,1.0
242,1.0,1.0,1.0,0.0,0.369624883,0.0,0.676108599,1.0,1.0,1.0
243,1.0,1.0,1.0,0.0,0.265292585,0.0,0.595161617,1.0,1.0,1.0
244,1.0,1.0,1.0,0.0,0.281771332,0.0,0.473448873,1.0,1.0,1.0
245,1.0,1.0,1.0,0.0,0.233025074,0.0,0.483133316,1.0,1.0,1.0
246,1.0,1.0,1.0,0.0,0.13673526,0.0,0.486564487,1.0,1.0,1.0
247,1.0,1.0,1.0,0.0,0.104717307,0.0,0.557056546,1.0,1.0,1.0
248,1.0,1.0,1.0,0.0,0.071474724,0.0,0.553082824,1.0,1.0,1.0
249,1.0,1.0,1.0,0.2567,0.008239744,0.222,0.559066772,1.0,1.0,1.0
250,1.0,1.0,1.0,0.4516,7.35e-6,0.4091,0.582361579,1.0,1.0,1.0
251,1.0,1.0,1.0,0.5729,0.0,0.5404,0.513777971,1.0,1.0,1.0
252,1.0,1.0,1.0,0.5979,0.0,0.6504,0.436720133,1.0,1.0,1.0
253,1.0,1.0,1.0,0.6425,0.0,0.6938,0.391491413,1.0,1.0,1.0
254,1.0,1.0,1.0,0.6437,1.39e-5,0.6029,0.383890152,1.0,1.0,1.0
255,1.0,1.0,1.0,0.5573,0.012485531,0.4281,0.482494712,1.0,1.0,1.0
256,1.0,1.0,1.0,0.3212,0.009501642,0.3287,0.650671899,1.0,1.0,1.0
257,1.0,1.0,1.0,0.1424,0.014184862,0.1264,0.872334957,1.0,1.0,1.0
258,1.0,1.0,1.0,0.0,0.119333498,0.0001,0.955511928,1.0,1.0,1.0
259,1.0,1.0,1.0,0.0,0.19053027,0.0,0.960899711,1.0,1.0,1.0
260,1.0,1.0,1.0,0.0,0.047565356,0.0,0.94687897,1.0,1.0,1.0
261,1.0,1.0,1.0,0.0,0.05569284,0.0,0.935051739,1.0,1.0,1.0
262,1.0,1.0,1.0,0.0,0.041210167,0.0,0.930534363,1.0,1.0,1.0
263,1.0,1.0,1.0,0.0,0.354351372,0.0,0.870290101,1.0,1.0,1.0
264,1.0,1.0,1.0,0.0,0.159613147,0.0,0.816940904,1.0,1.0,1.0
265,1.0,1.0,1.0,0.0,0.249115467,0.0,0.792178094,1.0,1.0,1.0
266,1.0,1.0,1.0,0.0,0.285684437,0.0,0.804743409,1.0,1.0,1.0
267,1.0,1.0,1.0,0.0,0.087608792,0.0,0.803347707,1.0,1.0,1.0
268,1.0,1.0,1.0,0.0,0.121226177,0.0,0.820398808,1.0,1.0,1.0
269,1.0,1.0,1.0,0.0,0.363875806,0.0,0.767235398,1.0,1.0,1.0
270,1.0,1.0,1.0,0.0,0.4204216,0.0,0.667571604,1.0,1.0,1.0
271,1.0,1.0,1.0,0.0,0.378963947,0.0,0.637395024,1.0,1.0,1.0
272,1.0,1.0,1.0,0.0009,0.406331927,0.0,0.543643296,1.0,1.0,1.0
273,1.0,1.0,1.0,0.291,0.693407893,0.2908,0.519950271,1.0,1.0,1.0
274,1.0,1.0,1.0,0.5064,0.680017531,0.5104,0.616767526,1.0,1.0,1.0
275,1.0,1.0,1.0,0.6688,0.912377775,0.6711,0.519617796,1.0,1.0,1.0
276,1.0,1.0,1.0,0.7318,0.675263762,0.7409,0.538539052,1.0,1.0,1.0
277,1.0,1.0,1.0,0.7417,0.711840212,0.7511,0.498886168,1.0,1.0,1.0
278,1.0,1.0,1.0,0.7336,0.61278379,0.7431,0.571346521,1.0,1.0,1.0
279,1.0,1.0,1.0,0.6768,0.559436798,0.6956,0.591261983,1.0,1.0,1.0
280,1.0,1.0,1.0,0.5196,0.722519279,0.5493,0.535583377,1.0,1.0,1.0
281,1.0,1.0,1.0,0.3089,0.511611402,0.3462,0.462661415,1.0,1.0,1.0
282,1.0,1.0,1.0,0.0174,0.478147358,0.0767,0.40097788,1.0,1.0,1.0
283,1.0,1.0,1.0,0.0,0.621359408,0.0,0.453927904,1.0,1.0,1.0
284,1.0,1.0,1.0,0.0,0.271505713,0.0,0.531599224,1.0,1.0,1.0
285,1.0,1.0,1.0,0.0,0.136628702,0.0,0.460632533,1.0,1.0,1.0
286,1.0,1.0,1.0,0.0,2.23e-5,0.0,0.057315052,1.0,1.0,1.0
287,1.0,1.0,1.0,0.0,0.000521008,0.0,0.061800338,1.0,1.0,1.0
288,1.0,1.0,1.0,0.0,0.207811773,0.0,0.491705179,1.0,1.0,1.0
289,1.0,1.0,1.0,0.0,0.339919329,0.0,0.540657043,1.0,1.0,1.0
290,1.0,1.0,1.0,0.0,0.437801093,0.0,0.652257323,1.0,1.0,1.0
291,1.0,1.0,1.0,0.0,0.333993256,0.0,0.718287349,1.0,1.0,1.0
292,1.0,1.0,1.0,0.0,0.161500841,0.0,0.69870913,1.0,1.0,1.0
293,1.0,1.0,1.0,0.0,0.08829625,0.0,0.7501809,1.0,1.0,1.0
294,1.0,1.0,1.0,0.0,0.220195055,0.0,0.76255101,1.0,1.0,1.0
295,1.0,1.0,1.0,0.0,0.172396615,0.0,0.712663054,1.0,1.0,1.0
