Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
,,,,,,,,35,12243,11093,17128,40471,15803,26582,15955,24387,35326,20871,11091,10134,18662,14788,41195,40348,11003,12159,7931,16784,31781,30854,33932,18066,57161,2682
,,,,,,,,36,13040,11771,18175,42913,16528,28162,16910,25873,37107,21482,11580,10526,20177,15646,43195,42689,11458,12877,8251,17715,33548,32577,35954,19439,60896,2872
,,,,,,,,37,13876,12396,19137,44674,16949,29526,17705,27201,38831,21840,11872,10736,21385,16377,44541,44616,12052,13517,8471,18619,35025,33984,37932,20944,64043,3027
,,,,,,,,38,14624,13109,20239,45480,17038,30445,18242,28363,40242,22150,12164,10949,22282,16933,45547,46056,12613,13976,8689,19368,36143,35206,39589,22170,66969,3173
,,,,,,,,39,15445,13666,21102,45889,17284,31090,18609,28877,40850,22365,12368,11086,22873,17382,46503,47414,13155,14228,8818,19728,37004,35804,40702,22988,68681,3265
,,,,,,,,40,16098,14095,21768,45919,17636,31452,18904,29226,41017,22574,12589,11209,23257,17741,47567,48399,13542,14369,8902,20056,37500,36148,41652,24049,69807,3329
,,,,,,,,41,16491,14609,22563,45383,17876,31690,18921,29321,41179,22619,12785,11312,23463,17979,48543,49104,13953,14510,9007,20216,37374,36237,42171,24997,70358,3369
,,,,,,,,42,17015,15101,23327,44125,18103,31476,18625,28983,40824,22724,12813,11273,23362,17933,48951,48935,14338,14497,8991,20051,36644,35787,41848,25674,69776,3352
,,,,,,,,43,17544,15611,24122,42201,17679,30734,17710,28490,39442,23222,12289,10851,22782,17433,47247,47543,14566,14299,8826,19770,34846,34780,40422,26128,68330,3297
,,,,,,,,44,17822,15928,24620,39905,16889,29355,16694,27485,36536,23665,11660,10351,21525,16646,44733,45637,14716,13735,8427,19058,33241,33050,38425,26128,65569,3151
,,,,,,,,45,17894,15860,24528,36953,16541,28139,16068,26417,34747,24066,11164,9959,20696,16000,42567,43989,13882,13021,8054,18141,31090,31554,37178,25097,63136,3018
,,,,,,,,46,17196,15038,23261,33203,15896,27190,15253,25812,33624,23388,10864,9763,20149,15481,40920,42670,13002,12609,7886,17714,28069,29720,34565,23935,61683,2934
,,,,,,,,47,16268,14146,21881,29474,15424,25326,13884,24209,31043,22528,10105,9166,19163,14182,37339,39635,12650,11668,7645,16588,25295,27301,31374,23306,57710,2731
,,,,,,,,48,15542,13877,21467,26676,14005,23309,12701,22272,28420,21953,9124,8380,17732,12858,33456,36207,12071,10619,7163,15278,23251,24955,28505,21838,52910,2494
,,,,,,,,49,14548,13321,20610,24566,12511,21585,11874,20717,26391,20900,8254,7711,16321,11815,30155,33174,11318,9780,6683,14219,21880,23153,26382,20071,48811,2289
,,,,,,,,50,13311,12153,18801,23208,11441,20256,11291,19487,24817,19200,7629,7230,15137,11064,28050,31206,10731,9162,6314,13456,20907,21746,24819,18522,45823,2137
,,,,,,,,51,12232,10973,16967,22423,10807,19349,10926,18742,23909,17520,7221,6922,14206,10632,26651,29810,10177,8715,6102,12975,20542,20825,23695,17037,43808,2031
,,,,,,,,52,11391,10215,15780,22536,10402,18800,10830,18309,23341,16323,7006,6755,13536,10412,25871,29114,9750,8415,5955,12695,20844,20415,23352,16080,42626,1968
,,,,,,,,53,10853,9824,15172,23514,10156,18715,11090,18191,23442,15757,6950,6724,13170,10443,25790,29066,9484,8337,5956,12642,21493,20484,23647,15315,42390,1951
,,,,,,,,54,10539,9452,14595,25231,10272,19090,11707,18490,24310,15606,7107,6866,13129,10799,26725,29943,9332,8514,6131,12885,22912,20958,24475,14865,43475,1997
,,,,,,,,55,10371,9320,14385,28129,10739,20161,12542,19022,26023,15729,7699,7308,13567,11339,29035,31864,9300,8881,6480,13339,25264,22240,25963,14792,45221,2077
,,,,,,,,56,10410,9392,14488,31664,12102,21796,13290,19865,28162,16403,8722,8153,14702,12420,32396,34380,9499,9656,7089,13880,28187,24199,28387,15037,46982,2181
,,,,,,,,57,10747,9876,15231,35198,13542,23463,14030,21248,30250,17713,9593,8923,16057,13590,35442,37238,9791,10524,7669,14865,31120,26418,31261,15581,50232,2346
,,,,,,,,58,11363,10464,16150,38419,14469,25164,14601,22760,31974,20107,10337,9559,17507,14765,38333,39864,10327,11403,7937,15975,33761,28569,34436,16721,54033,2531
,,,,,,,,59,12379,11139,17198,41108,15282,26761,15150,24419,33530,21182,11052,10134,18817,15876,41155,42402,10903,12165,7907,17138,36045,30740,37444,17700,57997,2724
,,,,,,,,60,13192,11825,18258,43496,15938,28286,16009,25972,35177,21753,11624,10602,19933,16951,43741,44532,11317,12862,8161,18032,37765,32700,40160,18756,61705,2916
,,,,,,,,61,13944,12382,19115,44982,16332,29628,16755,27396,36911,22010,12020,10904,21070,17756,45642,46016,11769,13539,8485,18960,38770,34163,41997,20102,64907,3075
,,,,,,,,62,14561,13030,20117,45804,16489,30690,17338,28632,38214,22261,12306,11116,22081,18155,47023,46914,12375,14108,8753,19834,38981,35271,42933,21155,67847,3222
,,,,,,,,63,15203,13519,20874,45925,16781,31422,17854,29278,38974,22253,12506,11244,22905,18433,48033,47444,12898,14434,8859,20270,38746,35828,42876,21633,69898,3331
,,,,,,,,64,15652,13869,21418,45552,17220,31885,18103,29652,39413,22173,12705,11342,23331,18708,49191,47945,13025,14628,8895,20565,38443,36112,42500,22325,71134,3400
,,,,,,,,65,16073,14309,22100,44320,17649,32146,17919,29826,39688,22145,12818,11356,23559,18796,49752,48340,12904,14774,9132,20728,37660,36124,41353,23140,71824,3448
,,,,,,,,66,16536,14761,22801,42576,18054,31911,17450,29488,39393,22100,12638,11109,23512,18544,49473,48071,12787,14751,9108,20623,36389,35678,39598,23643,71288,3433
,,,,,,,,67,16972,15248,23560,40743,17569,31137,16548,28741,38413,22435,11991,10559,22996,17920,47128,46382,12740,14549,8914,20160,34464,34413,37522,23844,69788,3377
,,,,,,,,68,17339,15578,24081,38754,16484,29664,15612,27443,35890,22635,11372,10063,21836,16992,44487,44315,12679,13858,8509,19244,32804,32513,35309,23762,66687,3214
,,,,,,,,69,17192,15505,23980,36181,15964,28328,14955,26204,33976,22837,11026,9816,20895,16443,43095,42783,12099,13053,8100,18121,30557,31187,33837,22751,63429,3040
,,,,,,,,70,16475,14719,22767,33175,15385,27326,14318,25404,33034,22108,10827,9711,20224,15665,41681,41366,11510,12565,7942,17533,27753,29445,31655,21701,61392,2928
,,,,,,,,71,15513,13875,21463,29870,14826,25538,13239,23930,30870,21166,10184,9226,19214,14496,38631,38746,11413,11724,7783,16435,25599,27156,29058,20881,57442,2725
,,,,,,,,72,14952,13657,21128,27210,13757,23646,12232,22201,28532,20801,9444,8667,17862,13345,35349,35831,11171,10760,7418,15264,23266,24859,26545,19643,53070,2507
,,,,,,,,73,14144,13140,20330,25137,12632,21995,11362,20688,26584,20154,8741,8109,16542,12316,32234,33048,10578,9923,6980,14192,21692,22994,24499,18593,49115,2308
,,,,,,,,74,13088,12044,18632,23699,11696,20599,10764,19535,24995,18801,8173,7688,15406,11609,30125,31059,10037,9244,6596,13372,20693,21560,22959,17214,46042,2150
,,,,,,,,75,12109,11001,17011,22767,11028,19584,10367,18620,23985,17238,7744,7369,14516,11089,28585,29618,9584,8721,6324,12787,20012,20500,21920,15886,43848,2035
,,,,,,,,76,11391,10241,15822,22585,10646,18839,10169,17973,23361,16249,7499,7180,13845,10813,27694,28651,9283,8322,6155,12377,19800,19782,21361,15017,42395,1960
,,,,,,,,77,10875,9695,14972,22709,10455,18503,10154,17679,23169,15657,7387,7104,13428,10693,27285,28146,9066,8098,6046,12159,19598,19539,21236,14383,41681,1921
,,,,,,,,78,10522,9370,14468,23272,10504,18256,10094,17595,23067,15421,7348,7081,13170,10764,27389,28164,8887,8000,6016,12095,19946,19456,21270,13961,41658,1915
,,,,,,,,79,10267,9125,14084,25892,10707,18420,10399,17488,23633,15453,7471,7081,13087,10656,27701,28325,8750,7885,6066,11966,21762,20063,21514,13756,41524,1908
,,,,,,,,80,10144,9076,14002,29856,11011,19738,11446,17960,25430,15720,7814,7294,13594,11204,28909,29949,8844,8384,6449,12246,24514,21949,23388,13683,42375,1966
,,,,,,,,81,10228,9228,14235,33747,11521,21667,12807,19554,27993,16287,8378,7765,14766,12185,31090,32908,8924,9291,6947,13440,27487,24592,26263,13819,46279,2157
,,,,,,,,82,10550,9433,14560,37013,12242,23728,14094,21544,30404,18147,9075,8357,16234,13475,34112,36421,9229,10298,7443,14864,30093,27219,29363,14678,50931,2379
,,,,,,,,83,11170,9694,14972,39537,13205,25674,15157,23580,32364,19019,9884,9018,17852,14784,37480,39847,9667,11248,7826,16269,32284,29785,32461,15533,55509,2600
,,,,,,,,84,11847,10154,15680,41461,14289,27400,16108,25324,33872,19757,10534,9564,19338,15968,40577,42925,10109,12123,8145,17443,34092,31838,35178,16382,59768,2816
,,,,,,,,85,12451,10685,16499,42013,15117,28632,16680,26763,35198,20235,11024,9956,20456,16878,42998,45038,10741,12818,8434,18433,35380,33364,37274,16865,63447,2997
,,,,,,,,86,13162,11265,17394,41698,15591,29435,17078,27593,36045,20538,11386,10234,21204,17550,44701,46390,11196,13299,8569,19137,36091,34173,38553,17207,65960,3125
,,,,,,,,87,13742,11768,18171,40994,15867,29839,17277,28005,36475,20544,11659,10420,21614,18110,46231,47174,11706,13596,8626,19498,36302,34627,39240,17371,67651,3216
,,,,,,,,88,14039,12153,18769,40328,16247,30252,17440,27976,36831,20400,11948,10593,21939,18570,47786,48035,12039,13866,8749,19757,36225,34955,39437,17437,68598,3272
,,,,,,,,89,14141,12393,19141,39265,16660,30584,17482,27859,37218,20304,12186,10709,22154,18870,49001,48632,12364,14118,8903,19936,35401,35118,39061,17609,69303,3321
,,,,,,,,90,14144,12770,19727,37311,17097,30580,17087,27520,37071,20283,12249,10657,22147,18765,49367,48407,12973,14208,8968,19940,33993,34726,37731,17726,69588,3346
,,,,,,,,91,14300,13176,20359,35206,16921,30040,16279,26920,36104,20768,11917,10382,21672,18099,47812,47059,13471,14051,8832,19566,31996,33343,35865,17776,68457,3308
,,,,,,,,92,14329,13478,20834,33461,16212,28671,15238,25777,34108,21049,11385,9986,20766,17166,45558,44937,13618,13403,8455,18700,30307,31520,33768,17613,65366,3148
,,,,,,,,93,14196,13526,20921,32175,15756,27366,14700,24591,32231,21232,11100,9798,19843,16509,44068,43414,13101,12514,8061,17533,28737,30169,32500,17268,61583,2949
,,,,,,,,94,13699,12991,20098,30391,15600,26415,14147,23932,31178,20442,11020,9764,19268,15932,42857,42256,12277,11917,7872,16866,26930,28537,30792,16739,59177,2820
,,,,,,,,95,13052,12198,18875,27683,15206,25108,13425,22846,29509,19529,10625,9494,18598,15066,40917,40102,12005,11199,7504,16011,24703,26696,28812,16410,56052,2660
,,,,,,,,96,12781,11955,18501,24971,14442,23607,12570,21489,27680,19100,10100,9130,17612,13964,38233,37611,11779,10497,7057,15148,22892,24753,26412,15729,52616,2487
,,,,,,,,97,12256,11562,17896,23072,13251,21990,11826,20064,25819,18525,9371,8579,16532,12836,35096,34793,11133,9690,6623,14132,21507,22909,24400,15426,48761,2293
,,,,,,,,98,11743,10999,17020,21870,12306,20658,11155,18964,24378,17691,8759,8110,15460,11961,32734,32722,10628,9002,6311,13334,20589,21610,23023,14442,45650,2134
,,,,,,,,99,11099,10301,15929,21189,11650,19705,10719,18189,23396,16784,8288,7769,14583,11448,31056,31226,10176,8524,6081,12781,20225,20760,22149,13579,43549,2024
,,,,,,,,100,10505,9550,14757,21405,11265,19141,10475,17661,22817,15753,8038,7592,13950,11156,30139,30492,9904,8195,5940,12393,20441,20402,21903,12983,42280,1957
,,,,,,,,101,10113,9226,14251,22458,11016,19027,10487,17485,22895,15149,7969,7568,13560,11105,29991,30315,9645,8090,5923,12249,21198,20501,22305,12501,41904,1932
,,,,,,,,102,9843,8978,13866,24043,11145,19537,10991,17689,23682,14877,8106,7703,13602,11463,30885,31365,9471,8243,6053,12419,22606,21153,23180,12320,42767,1967
,,,,,,,,103,9790,8779,13552,27019,11627,20561,11779,18195,25419,15055,8708,8136,14079,11920,33296,33414,9342,8559,6357,12787,25258,22561,24570,12385,44227,2033
,,,,,,,,104,9954,8874,13691,30454,12956,22575,12892,19199,27963,15641,9791,8999,15483,13074,37184,36219,9634,9450,6963,13445,28445,24816,27109,12734,46268,2150
,,,,,,,,105,10317,9369,14451,33844,14451,24612,14103,20880,30519,16726,10759,9813,17181,14363,40790,39086,9885,10530,7513,14746,31627,27414,30244,13478,50262,2348
,,,,,,,,106,10768,10208,15755,36832,15471,26679,15318,22724,32947,18995,11586,10506,18921,15711,44123,41748,10308,11557,7863,16119,34478,29952,33373,14931,54590,2557
,,,,,,,,107,11585,10888,16811,39156,16316,28523,16406,24524,34991,20060,12314,11083,20556,16913,47130,44325,10874,12469,7897,17437,36742,32373,36394,16223,58860,2765
,,,,,,,,108,12205,11512,17774,41007,16996,30218,17182,26266,36542,20675,12826,11480,22067,18004,49442,46783,11241,13314,8173,18650,38627,34287,39109,16963,63015,2978
,,,,,,,,109,12808,12100,18681,42521,17387,31456,17766,27853,38027,21031,13151,11723,23296,18827,51011,48332,11722,13983,8479,19727,39476,35645,41391,18174,66544,3152
,,,,,,,,110,13397,12685,19585,43107,17500,32055,18184,28969,38983,21388,13435,11932,24131,19215,52221,49181,12141,14488,8706,20512,39641,36345,42918,19270,69616,3306
,,,,,,,,111,13912,13162,20323,43411,17685,32586,18490,29483,39590,21538,13674,12093,24667,19541,53112,49461,12633,14838,8870,20875,39373,36568,43578,20308,71852,3424
,,,,,,,,112,14390,13377,20660,43679,18041,32771,18818,29841,40106,21602,13908,12221,24824,19753,54082,49632,13084,15047,8989,21198,38710,36761,43972,21071,73628,3520
,,,,,,,,113,14765,13671,21116,43603,18284,32790,18899,29969,40381,21676,14018,12221,24552,19817,54693,49744,13522,15245,9119,21392,37692,36562,44054,21923,75005,3601
,,,,,,,,114,15221,14050,21704,42595,18475,32600,18603,29797,40357,21837,13911,12016,24230,19687,54726,49522,14020,15290,9165,21347,36172,35792,43448,22447,74998,3615
,,,,,,,,115,15764,14520,22438,41036,18001,32059,17762,29336,39495,22509,13279,11498,23776,19223,52868,48222,14228,15174,9047,20997,34336,34300,41854,22720,73593,3564
,,,,,,,,116,16160,14873,22995,39011,17146,30798,16850,28244,36806,23057,12585,10970,22902,18301,50067,46156,14195,14641,8652,20197,32621,32549,40077,22715,70236,3387
,,,,,,,,117,16147,14846,22962,36429,16754,29635,16238,27127,34966,23369,12090,10613,22090,17802,47974,44671,13479,13864,8274,19140,30467,31395,39512,21957,66652,3196
,,,,,,,,118,15507,14113,21833,33011,16210,28596,15536,26399,33782,22806,11745,10388,21570,17237,46043,43336,12566,13359,8072,18539,27724,29712,37120,20860,64354,3070
,,,,,,,,119,14804,13301,20578,29580,15735,26750,14304,24724,31153,21811,10930,9738,20602,15951,42166,40750,12209,12339,7797,17264,25109,27300,33052,20052,59688,2833
,,,,,,,,120,14337,13164,20367,26922,14384,24699,13129,22766,28514,21318,9906,8913,19157,14599,38220,37431,11797,11214,7301,15846,23251,25052,30275,18738,54352,2568
,,,,,,,,121,13592,12750,19730,24873,13037,22939,12279,21179,26553,20530,8962,8203,17786,13518,34635,34500,10957,10296,6806,14668,21851,23246,27765,17499,49803,2343
,,,,,,,,122,12588,11705,18109,23510,11891,21601,11675,20017,25112,19041,8293,7704,16707,12704,32223,32507,10255,9608,6439,13821,20945,21834,25834,16104,46435,2171
,,,,,,,,123,11680,10688,16528,22701,11168,20571,11260,19131,24150,17410,7825,7353,15853,12104,30411,31050,9790,9110,6178,13200,20455,20900,24810,15019,44092,2049
,,,,,,,,124,11016,10061,15545,22755,10770,19998,11057,18500,23651,16214,7551,7146,15244,11843,29306,30246,9447,8740,6038,12775,20628,20348,24363,14200,42614,1972
,,,,,,,,125,10491,9594,14817,23610,10511,19829,11178,18297,23830,15489,7475,7113,14864,11801,28960,30188,9222,8574,6052,12594,21231,20350,24586,13635,42102,1941
,,,,,,,,126,10159,9261,14302,25153,10601,20205,11606,18485,24621,15131,7625,7262,14817,12211,29644,31215,9002,8662,6192,12742,22400,20916,24624,13303,42951,1976
,,,,,,,,127,10049,9099,14045,27904,11009,21240,12627,18905,26439,15196,8199,7678,15270,12524,31733,33060,8896,8934,6513,13042,24582,22101,25198,13232,44278,2035
,,,,,,,,128,10115,9216,14218,31242,12295,23127,14003,19798,29004,15728,9215,8533,16540,13467,35230,36039,9037,9749,7171,13654,27287,24024,27318,13362,46148,2144
,,,,,,,,129,10392,9678,14927,34420,13781,25453,15424,21289,31491,16794,10194,9384,18184,14611,38481,39408,9266,10780,7776,14934,30049,26256,29727,13976,50150,2343
,,,,,,,,130,10920,10059,15525,37365,14819,27492,16630,22915,33757,19036,11005,10068,19874,15656,41333,42585,9704,11793,8148,16279,32560,28446,32406,15023,54430,2549
,,,,,,,,131,11845,10973,16943,39793,15782,29442,17619,24699,35742,20333,11763,10680,21447,16816,44232,45972,10362,12788,8168,17584,34809,30897,35068,16395,58867,2764
,,,,,,,,132,12661,11635,17966,41876,16661,31143,18603,26417,37327,21107,12375,11177,22875,17845,46556,48890,10717,13623,8429,18785,36622,33086,37607,17624,63137,2982
,,,,,,,,133,13411,12063,18625,43412,17240,32356,19321,27827,38845,21524,12779,11489,23963,18538,48267,50778,11171,14271,8651,19856,38094,34775,39733,19018,66903,3167
,,,,,,,,134,14237,12663,19554,44223,17503,33104,19647,28741,39790,21799,13178,11792,24644,18968,49780,52115,11662,14764,8871,20666,38930,35960,40993,20206,70055,3325
,,,,,,,,135,14923,13206,20395,44430,17881,33365,19861,29073,40191,22053,13481,12011,24964,19288,51106,52857,12029,15005,8936,21022,39228,36821,41943,21279,72227,3441
,,,,,,,,136,15518,13586,20985,44330,18379,33674,19962,28933,40556,22307,13755,12173,25199,19569,52430,53411,12460,15186,9034,21243,39190,37297,42543,22193,73631,3518
,,,,,,,,137,16023,14064,21726,43613,18842,33893,19910,28621,40810,22555,13967,12274,25308,19815,53693,53901,12535,15351,9170,21348,38513,37271,42557,22983,74486,3575
,,,,,,,,138,16545,14536,22458,42267,19194,33844,19507,28041,40438,22821,13915,12137,25180,19744,54052,53607,12625,15356,9127,21210,37116,36707,41872,23591,74394,3584
,,,,,,,,139,17081,15071,23291,40403,18761,33105,18504,27197,39215,23521,13275,11613,24560,19352,52391,51813,12483,15189,8971,20717,35171,35269,39952,23939,72963,3533
,,,,,,,,140,17361,15511,23979,38303,17687,31543,17508,25958,36431,24045,12552,11043,23440,18373,49713,49728,12276,14608,8605,19806,33468,33478,37564,23868,69732,3363
,,,,,,,,141,17243,15505,23983,35939,17251,30455,16900,24984,34330,24254,12062,10676,22602,17695,47801,48138,11543,13787,8211,18728,31488,32349,36259,22928,66181,3174
,,,,,,,,142,16442,14767,22845,32974,16850,29505,16087,24302,32923,23472,11725,10456,21938,17158,46221,46663,10883,13269,7965,18141,28712,30501,33833,21673,63963,3052
,,,,,,,,143,15542,13860,21442,29934,16391,27689,14881,23073,30269,22403,10984,9882,20915,15993,42807,43788,10663,12324,7729,17066,26171,28094,30963,20666,59800,2838
,,,,,,,,144,14891,13608,21053,27345,15185,25662,13746,21530,27685,21788,10154,9250,19437,14797,39266,40454,10260,11281,7229,15799,24156,25847,28200,19240,55236,2609
,,,,,,,,145,14127,13091,20257,25367,13780,23935,12857,20207,25753,21010,9675,8643,18019,13672,36279,37306,9649,10422,6776,14700,22796,24039,26200,18084,50939,2395
,,,,,,,,146,13045,12103,18725,23946,12607,22487,12133,19183,24453,19586,8972,8134,16710,12754,33551,34864,9220,9774,6426,13831,21529,22611,24635,16534,47511,2236
,,,,,,,,147,12090,11059,17097,22841,11937,21330,11634,18351,23316,17866,8552,7801,15780,12192,31816,33204,8958,9128,6137,13173,20809,21425,23469,15294,44801,2095
,,,,,,,,148,11421,10316,15903,22426,11482,20524,11318,17833,22702,16841,8265,7582,15039,11755,30623,31980,8681,8691,5968,12745,20532,20805,22866,14439,42966,2003
,,,,,,,,149,10792,9592,14777,22299,11175,19982,11180,17541,22329,15767,8094,7465,14536,11497,29810,31203,8478,8390,5861,12470,20364,20431,22616,13695,41853,1942
,,,,,,,,150,10404,9360,14406,22885,11135,19735,11132,17447,22212,15284,8057,7422,14207,11411,29681,31133,8290,8255,5784,12417,21044,20489,22592,13194,41527,1921
,,,,,,,,151,10136,9218,14178,25424,11121,19876,11628,17455,22779,15062,8256,7517,14045,11404,30162,31494,8216,8166,5851,12363,23199,21104,23095,12916,41449,1918
